Text,entities,entity_types,UniNER
"Similar CSS hacks involve inducing syntax errors like asterisks , missing whitespace , and CSS comments around property names .","['CSS hacks', 'CSS']","['General_Concept', 'Language']","defaultdict(<class 'list'>, {'Language': ['[""CSS""]'], 'General_Concept': ['[""syntax errors"", ""asterisks"", ""missing whitespace"", ""CSS comments"", ""property names""]']})"
"Mainframe computers are powerful computers used primarily by large organizations for computational work , especially large-scale , multi-user processes . The term originally referred to the large cabinets called "" main frames "" that housed the central processing unit and main memory of early computers . Prior to the rise of personal computers , first termed microcomputers , in the 1970s , they were the primary type of computer in use , and at the beginning of the 1960s they were the only type of computer available for public purchase .","['Mainframe computers', 'main frames', 'central processing unit', 'memory', 'personal computers', 'microcomputers']","['Architecture', 'Architecture', 'General_Concept', 'General_Concept', 'Device', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
Linux and Mesa supports the Adreno 200/300/400/500 series of GPUs with a driver called freedreno .,"['Linux', 'Mesa', 'Adreno', 'GPUs']","['Application', 'Application', 'General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]'], 'Architecture': ['[]']})"
"FTUEs are directly related to the well-known cold start problem in recommender systems , which attempts to balance the ease of the initial experience with the difficulty of gathering the needed information to make quality recommendations to the user .","['FTUEs', 'cold start problem', 'recommender systems']","['General_Concept', 'General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""recommender systems""]'], 'General_Concept': ['[""recommender systems""]']})"
CarPlay is an Apple standard which enables a car radio or head unit to be a display and a controller for an iOS device .,"['CarPlay', 'iOS']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
A teleporter piece can teleport pieces that it lands on .,['teleporter'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"With some intelligence in the NIC , the host CPU can hand over the 64 KB of data to the NIC in a single transmit-request , the NIC can break that data down into smaller segments of 1460 bytes , add the TCP , IP , and data link layer protocol headers — according to a template provided by the host 's TCP/IP stack — to each segment , and send the resulting frames over the network .","['CPU', 'TCP', 'IP', 'TCP/IP stack']","['General_Concept', 'Protocol', 'Protocol', 'Protocol']","defaultdict(<class 'list'>, {'Protocol': ['[""TCP"", ""IP"", ""data link layer""]'], 'General_Concept': ['[]']})"
"Systems use it primarily to facilitate the installation , configuration , and use of network printers , and thus it runs from startup .",['configuration'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""network printers""]']})"
"EPROM storage was used to hold the built-in applications , and data storage involved "" matchbook-size "" solid-state modules employing flash memory fitting into the four available slots present on the sides of the machine .","['EPROM', 'flash memory']","['General_Concept', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[""machine""]']})"
"When an operator keying data to be verified encountered an error , the operator was given a second and third try to re-enter the data that was supposed to be in the field . If the third try was incorrect an error notch was put on the top of the card over the column with the error and the "" OK "" punch at the end of the card was not enabled .","['data', 'data', 'punch']","['General_Concept', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[]']})"
"To complement the increased width of the SIMD units , the L1 cache bandwidth was increased to 4.4TB/s . The integrated memory controllers were replaced with four Hybrid Memory Cube ( HMC ) interfaces for decreased memory latency and improved memory bandwidth . According to the Microprocessor Report , the IXfx was the first processor to use HMCs . Fujitsu announced at the International Supercomputing Conference in June 2016 that its future exascale supercomputer will feature processors of its own design that implement the ARMv8 architecture . The A64FX will implement extensions to the ARMv8 architecture , equivalent to HPC-ACE2 , that Fujitsu is developing with ARM Holdings .","['SIMD', 'integrated memory controllers', 'Hybrid Memory Cube', 'Microprocessor', 'Supercomputing', 'exascale', 'supercomputer', 'A64FX']","['Device', 'General_Concept', 'General_Concept', 'Architecture', 'Architecture', 'General_Concept', 'Architecture', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[""ARMv8 architecture"", ""HPC-ACE2""]'], 'Device': ['[]']})"
"Unlike previous instances of CRIME , which can be successfully defended against by turning off TLS compression or SPDY header compression , BREACH exploits HTTP compression which cannot realistically be turned off , as virtually all web servers rely upon it to improve data transmission speeds for users . Earlier TLS versions were vulnerable against the padding oracle attack discovered in 2002 .","['compression', 'SPDY', 'compression', 'BREACH', 'HTTP compression', 'web servers', 'padding oracle attack']","['General_Concept', 'Protocol', 'General_Concept', 'Protocol', 'Protocol', 'Application', 'Application']","defaultdict(<class 'list'>, {'Protocol': ['[""TLS"", ""SPDY"", ""HTTP""]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
"The ATSC system uses lossy compression , so while the decompressed data size is the same as the original compressed data size , the data produced is not exactly the same as the original data fed into the system at the transmitting site , but it is close enough that most people will not notice a difference .","['ATSC system', 'lossy compression', 'decompressed', 'compressed data']","['Device', 'Algorithm', 'General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'General_Concept': ['[""data""]'], 'Device': ['[]']})"
"In most respects it makes no difference what the character set is , but some issues do arise when extending regexes to support Unicode .","['character set', 'regexes']","['General_Concept', 'Language']","defaultdict(<class 'list'>, {'Language': ['[]'], 'General_Concept': ['[]']})"
"Versions were made for the Macintosh , Atari ST , Amiga , IBM PC , Super Nintendo Entertainment System , Sega CD , and TurboGrafx-16 .","['Macintosh', 'Atari ST', 'Amiga', 'IBM PC', 'Super Nintendo Entertainment System', 'Sega CD', 'TurboGrafx-16']","['Device', 'Device', 'Device', 'Device', 'Application', 'Device', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"Windows Mobile is a family of proprietary operating systems from Microsoft aimed at business and enterprise users , based on Windows CE and originally developed for Pocket PC ( PDA ) devices .","['Windows Mobile', 'family', 'proprietary', 'operating systems', 'Windows CE', 'Pocket PC', 'PDA']","['Operating_System', 'Application', 'Application', 'General_Concept', 'Operating_System', 'Device', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Windows Mobile"", ""Windows CE""]'], 'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[""Pocket PC"", ""PDA""]']})"
"In late 1962 , IBM announced that COBOL would be their primary development language and that development of COMTRAN would cease . COBOL Edition 1965 brought further clarifications to the specifications and introduced facilities for handling mass storage files and tables . In late 1962 , both ISO and the United States of America Standards Institute ( now ANSI ) formed groups to create standards .","['COMTRAN', 'mass storage', 'files', 'tables', 'ISO']","['Language', 'Device', 'Operating_System', 'Application', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]'], 'Application': ['[]'], 'Language': ['[""COBOL"", ""COMTRAN""]'], 'General_Concept': ['[]']})"
"Additionally , the researchers suggested that priming , in addition to self-perception theory , could explain the Proteus effect .",['the Proteus effect'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""Proteus effect""]']})"
"There may also be a memory address register and a memory data register , used to access the main computer storage .","['memory address register', 'memory data register', 'computer storage']","['General_Concept', 'General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"Meanwhile , master archives of assets were created by acquiring customer copies of original Living Books products to extract the files from the CD-ROMs .","['Living Books', 'the', 'the', 'CD-ROMs']","['Application', 'General_Concept', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"While it touted superior graphics to the 2600 and Mattel 's Intellivision , the system was initially incompatible with the 2600 's expansive library of games , and some market analysts have speculated that this hurt its sales , especially since an Atari 2600 cartridge adapter had been released for the Intellivision II .","['Intellivision', 'Atari 2600', 'cartridge', 'Intellivision']","['Operating_System', 'General_Concept', 'Protocol', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'General_Concept': ['[]'], 'Protocol': ['[]']})"
Bravely Default - Features an AR Movie Mode which recognises a series of AR Cards to display short augmented reality introductions to the playable cast and more .,"['Bravely Default', 'augmented reality']","['Application', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
"A fiber-optic splitter , also known as a beam splitter , is based on a quartz substrate of an integrated waveguide optical power distribution device , similar to a coaxial cable transmission system .","['fiber-optic splitter', 'quartz']","['Protocol', 'General_Concept']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'General_Concept': ['[]']})"
"The first versions of a pedagogical agent were more cartoon than person , like Microsoft 's Clippy which helped users of Microsoft Office load and use the program 's features in 1997 .","['pedagogical agent', 'Clippy']","['Protocol', 'General_Concept']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'General_Concept': ['[]']})"
"Like in SNOBOL4 , the assignment operator (= ) is used for I/O and bs can execute code in strings , using its eval function .","['SNOBOL4', 'I/O', 'bs']","['Application', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"E6RM – a rewritten version of E4RM overlay software for the later machines with 22 bit addressing . A later development was GEORGE3 , remembered with great affection by a generation of British programmers . E3RM ) and versions of the GEORGE operating system ( initially GEORGE1 ) . At a time ( in the 1960s and 1970s ) when IBM/360 series programs had to be recompiled to run in different machine and/or operating system environments , one significant feature of the 1900 series was that programs would function unaltered on any 1900 system , without the need for recompilation . During the same period , LEO was struggling to produce its own machines that would be able to compete with IBM .","['E6RM', 'GEORGE3', 'E3RM', 'GEORGE', 'operating system', 'At', 'IBM/360', 'recompiled', 'operating system', '1900 series', 'LEO']","['Device', 'General_Concept', 'Device', 'General_Concept', 'General_Concept', 'Operating_System', 'Application', 'Language', 'General_Concept', 'Device', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[""GEORGE""]'], 'Device': ['[]'], 'Application': ['[]'], 'Language': ['[]'], 'General_Concept': ['[]']})"
"Use by camera makers varies : the largest companies such as Canon , Nikon , Sony , and some others , do not use DNG . Smaller companies and makers of "" niche "" cameras who might otherwise have difficulty getting support from software companies frequently use DNG as their native raw image format . Pentax uses DNG as an optional alternative to their own raw image format . In addition , most Canon point & shoot cameras can support DNG by using CHDK .","['Nikon', 'DNG', 'DNG', 'Pentax', 'DNG', 'DNG', 'CHDK']","['Algorithm', 'Application', 'Application', 'Application', 'Application', 'Application', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Algorithm': ['[]'], 'General_Concept': ['[]']})"
"It was also the ancestor of FORMAT for the IBM System/360 , and of course indirectly of every computerized word processing system . Likewise , RUNOFF for CTSS was the predecessor of the various RUNOFFs for DEC 's operating systems , via the RUNOFF developed by the University of California , Berkeley 's Project Genie for the SDS 940 system .","['IBM System/360', 'word processing', 'RUNOFF', 'CTSS', 'RUNOFFs', 'operating systems', 'RUNOFF', 'SDS 940']","['Application', 'General_Concept', 'Protocol', 'Operating_System', 'Protocol', 'General_Concept', 'Protocol', 'Device']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'Operating_System': ['[""CTSS"", ""RUNOFF"", ""Project Genie""]'], 'Device': ['[]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
"On modern desktop computers , this is rarely noticeable unless the executable is unusually big , so loading speed is not a primary reason for or against compressing an executable .","['executable', 'compressing', 'executable']","['Application', 'General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""executable""]'], 'General_Concept': ['[""loading speed""]']})"
"Apple 's HFS+ does not provide support for sparse files , but in OS X , the virtual file system layer supports storing them in any supported file system , including HFS+ .","['HFS+', 'sparse files', 'virtual file system', 'file system', 'HFS+']","['Application', 'General_Concept', 'Application', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
"A-10 Cuba ! Graphical and other improvements included tire smoke when landing or skidding , runway taxi-way lighting , the Air Combat Command insignia on most U.S. aircraft , increased number of polygons ( making objects appear much more round than they appeared in A-10 Attack !","['A-10 Cuba !', 'polygons', 'A-10 Attack !']","['Application', 'General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
"In some situations , however , it may be convenient to refer to a list by a handle that consists of two links , pointing to its first and last nodes .",['list'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""list"", ""handle"", ""links"", ""nodes""]']})"
The D7100 does not allow the lens aperture to be adjusted during video capture .,"['D7100', 'aperture']","['Algorithm', 'General_Concept']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'General_Concept': ['[]']})"
"Modern systems permit their users to stop and resume jobs , to execute them in the foreground ( with the ability to interact with the user ) or in the background .",['jobs'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""jobs"", ""foreground"", ""background""]']})"
"The 22 nm Silvermont microarchitecture was scheduled for 2013 release , and release of the 14 nm Airmont microarchitecture was scheduled for 2014 .","['Silvermont', 'microarchitecture', 'Airmont microarchitecture']","['Device', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[]']})"
"Quattro Pro file formats use various filename extensions , including WB1 , WB2 , WB3 , wq1 and wq2 ; some of these ( WB2 , wq1 , and wq2 ) may open in the desktop applications of Collabora Online , LibreOffice or Apache OpenOffice and then be saved into the OpenDocument format or other file formats , Microsoft dropped support for Quattro Pro file formats after Office 2007 .","['Quattro Pro', 'Collabora Online', 'LibreOffice', 'Apache OpenOffice', 'Quattro Pro']","['Application', 'General_Concept', 'Application', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""desktop applications""]'], 'General_Concept': ['[]']})"
An Ordered Key-Value Store ( OKVS ) is a type of data storage paradigm that can support multi-model database .,"['Ordered Key-Value Store', 'multi-model database']","['General_Concept', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'General_Concept': ['[]']})"
"USB memory , MIDI file format ( SMF/MP3/WAV/AIFF ) , and D-Beam control are included .","['USB', 'D-Beam control']","['Protocol', 'General_Concept']","defaultdict(<class 'list'>, {'Protocol': ['[""MIDI""]'], 'General_Concept': ['[]']})"
"The CPU has eight 32-bit general-purpose data registers ( D0-D7 ) , and eight address registers ( A0-A7 ) .","['CPU', 'registers', 'address registers']","['General_Concept', 'General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"The architecture is named after Johannes Kepler , a German mathematician and key figure in the 17th century scientific revolution .",['Kepler'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""scientific revolution""]']})"
"Data points in a data series are limited only by available memory ; in Excel 2007 , there was a limitation of 32,000 data points .","['memory', 'Excel 2007']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""Excel 2007""]'], 'General_Concept': ['[]']})"
"For sound , it employed one Z80C at 4.6MHz , two AY-3-8910s at 1.536MHz and one M5205 at 384kHz for FM and samples .","['Z80C', 'AY-3-8910s']","['General_Concept', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[]']})"
"Data is shared based on the hash value of the key , or range partitioned .","['shared', 'hash value']","['General_Concept', 'Error_Name']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Error_Name': ['[]']})"
SWEET16 runs at about one-tenth the speed of the equivalent native 6502 code .,"['SWEET16', '6502']","['Application', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
They used processors that implemented the VAX instruction set architecture ( ISA ) and were succeeded by the VAX 4000 .,"['VAX', 'instruction set architecture', 'VAX 4000']","['Device', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[]']})"
"Whereas VPLS as described in the above section ( OSI Layer 1 services ) supports emulation of both point-to-point and point-to-multipoint topologies , the method discussed here extends Layer 2 technologies such as 802.1d and 802.1q LAN trunking to run over transports such as Metro Ethernet .","['VPLS', 'point-to-point', 'topologies', 'Layer 2', 'LAN', 'Metro Ethernet']","['Application', 'Architecture', 'Architecture', 'Protocol', 'General_Concept', 'Protocol']","defaultdict(<class 'list'>, {'Protocol': ['[""802.1d"", ""802.1q""]'], 'Application': ['[]'], 'General_Concept': ['[]'], 'Architecture': ['[]']})"
"The "" edge-triggered D flip-flop "" , as it is called even though it is not a true flip-flop , does not have the master – slave properties .","['flip-flop', 'flip-flop']","['General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[""master"", ""slave""]']})"
"Important early products were the ADM-3A , VT52 , and VT100 . These devices used no CPU , instead relying on individual logic gates or very primitive LSI chips .","['ADM-3A', 'VT52', 'VT100', 'CPU']","['Device', 'Application', 'Device', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[""ADM-3A"", ""VT52"", ""VT100""]']})"
"In fault-tolerant computer systems , programs that are considered robust are designed to continue operation despite an error , exception , or invalid input , instead of crashing completely .","['fault-tolerant computer systems', 'robust']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[""programs"", ""robust"", ""error"", ""exception"", ""invalid input""]']})"
"Another alternative for users is to use the Windows Live Mail desktop client , which had built-in support for Hotmail .","['Windows Live Mail desktop', 'Hotmail']","['Application', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[""Windows Live Mail"", ""desktop client""]'], 'General_Concept': ['[]']})"
"Due to the nature of DOM , streamed reading from disk requires techniques such as lazy evaluation , caches , virtual memory , persistent data structures , or other techniques ( one such technique is disclosed in US patent 5557722 ) .","['DOM', 'virtual memory', 'persistent data']","['General_Concept', 'Architecture', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[""DOM"", ""lazy evaluation"", ""caches"", ""virtual memory"", ""persistent data structures""]'], 'Architecture': ['[]']})"
The 610 is the second Macintosh case design ( after the Macintosh LC family ) to use a pizza box form factor ; it was later used for the Centris / Quadra 660AV and the Power Macintosh 6100 .,"['Macintosh LC family', 'pizza box form factor', 'Centris / Quadra 660AV', 'Power Macintosh 6100']","['Device', 'General_Concept', 'Device', 'Device']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Device': ['[]']})"
Jaql is a functional data processing and query language most commonly used for JSON query processing ;,"['Jaql', 'query language', 'JSON', 'query']","['Application', 'Language', 'General_Concept', 'Library']","defaultdict(<class 'list'>, {'Library': ['[]'], 'Language': ['[""Jaql""]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
"Anticipating change helps software engineers build extensible software , which means they can enhance a software product without disrupting the underlying structure .",['software engineers'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[""change""]']})"
Beyond that a wireless lock supports automatic log-off after user leaves unlocked network client and independent from time-out conditions .,"['wireless lock', 'log-off']","['Operating_System', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'General_Concept': ['[]']})"
"Marketing for the game heavily emphasized its violent nature ; for example , the TurboGrafx-16 port of Splatterhouse had a faux parental advisory warning printed on the front of the box that read , "" The horrifying theme of this game may be inappropriate for young children ... and cowards. ""","['TurboGrafx-16', 'Splatterhouse']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[""Marketing"", ""violent nature"", ""TurboGrafx-16"", ""Splatterhouse"", ""parental advisory warning"", ""front"", ""box"", ""horrifying theme"", ""young children"", ""cowards""]']})"
"Hobbyists later developed PC software that can tunnel the GameCube 's local network traffic over the internet , as well as private servers to continue hosting Phantasy Star games .","['PC', 'tunnel', 'GameCube', 'local network', 'private servers', 'Phantasy Star']","['Device', 'Protocol', 'Application', 'General_Concept', 'Application', 'Application']","defaultdict(<class 'list'>, {'Protocol': ['[""local network traffic"", ""internet""]'], 'Application': ['[]'], 'General_Concept': ['[""network traffic"", ""internet"", ""private servers""]'], 'Device': ['[""GameCube""]']})"
"XGA-level 1024x768 black/white resolution requires 96 kilobytes of video refresh memory , 12 times more than a basic PDS-1 . Vector displays were good for showing data charts , modifying line drawings and CAD diagrams , tumbling 3-D wire-frame shapes , editing text , laying out printed pages , and playing simple games .","['Vector displays', 'CAD']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""data charts"", ""line drawings"", ""CAD diagrams"", ""3-D wire-frame shapes"", ""text"", ""printed pages"", ""simple games""]'], 'General_Concept': ['[""data"", ""charts"", ""line drawings"", ""CAD diagrams"", ""3-D wire-frame shapes"", ""text"", ""printed pages"", ""games""]']})"
"vCloud Air has three "" infrastructure as a service "" ( IaaS ) subscription service types : dedicated cloud , virtual private cloud , and disaster recovery .","['vCloud Air', 'infrastructure as a service', 'IaaS', 'virtual private cloud', 'disaster recovery']","['General_Concept', 'General_Concept', 'General_Concept', 'General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"Ouroboros was published as "" the first provable secure PoS consensus protocol "" .",['Ouroboros'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
Unix and similar operating systems provide 2 features very similar to macOS aliases : symbolic links and hard links .,"['Unix', 'operating systems', 'macOS', 'symbolic links', 'hard links']","['Application', 'General_Concept', 'Operating_System', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Unix"", ""macOS""]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
A modern computer operating system usually segregates virtual memory into user space and kernel space .,"['computer operating system', 'virtual memory', 'user space and kernel space']","['General_Concept', 'Architecture', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""computer operating system""]'], 'General_Concept': ['[]'], 'Architecture': ['[]']})"
JsonML allows any XML document to be represented uniquely as a JSON string .,"['JsonML', 'XML document', 'JSON']","['Protocol', 'Protocol', 'General_Concept']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'General_Concept': ['[]']})"
It allows existing two-operand instructions to be modified into non-destructive three-operand forms where the destination register is different from both source registers .,['registers'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
These devices are programmed with the same methods as the UV EPROM parts but are less costly .,['UV EPROM'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"In computer science , the double dabble algorithm is used to convert binary numbers into binary-coded decimal ( BCD ) notation .","['computer science', 'double dabble algorithm']","['General_Concept', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[""double dabble algorithm""]'], 'General_Concept': ['[]']})"
"In landscape photography , a user might select a small aperture when photographing a waterfall , so that the camera will select a slow shutter speed ( to allow a sufficient amount of light to reach the film or sensor for proper exposure ) , thereby causing the water to blur through the frame .","['aperture', 'sensor']","['General_Concept', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'General_Concept': ['[""exposure""]']})"
"English Electric had developed a series of machines over the years , notably the famous KDF9 and the commercially oriented KDF8 , but never had much commercial success . Now with serious financial backing at its disposal , the new company nevertheless decided not to come up with its own design , and instead licensed the RCA Spectra 70 ( the design ICT rejected ) . The result was the System 4 series . A model 4/75 was also supplied to the EELM ( later Baric ) Bureau subsidiary and installed at Winsford , Cheshire as the hardware for a bureau-developed commercial system for interactive use by bureau customers . The System 4 series ran the J ( for Job ) operating system .","['KDF9', 'KDF8', 'at', 'RCA Spectra 70', 'System 4', 'EELM', 'at', 'hardware', 'System 4', 'operating system']","['Device', 'Device', 'Operating_System', 'Device', 'Device', 'Device', 'Operating_System', 'Architecture', 'Device', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[""J""]'], 'General_Concept': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
"Redis An open source , in-memory data structure store , used as a database , cache and message broker .","['Redis', 'message broker']","['Operating_System', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'General_Concept': ['[]']})"
"It initially sold for less than one-sixth the cost of competing designs from larger companies , such as the 6800 or Intel 8080 . Along with the Zilog Z80 , it sparked a series of projects that resulted in the home computer revolution of the early 1980s .","['Intel 8080', 'Zilog Z80']","['General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[""projects"", ""home computer revolution""]']})"
"It features an RS-232 port , turbo mode , IBM keyboard , 10 Mbit/s local network interface , and a CGA graphics mode with 640×200 pixel resolution . Its RAM is expandable to 512KB . Not to be confused with the Sinclair ZX Spectrum Next released in 2017 . This is a series of Russian ZX Spectrum clones designed by Mick Laboratory . The ZXM-777 was developed in 2006 , and uses a TMPZ84C00-8 CPU at 3.5MHz in normal mode , or 7.0MHz in turbo mode .","['local network', 'RAM', 'Sinclair ZX Spectrum Next', 'ZX Spectrum', 'clones', 'CPU', 'at']","['General_Concept', 'Architecture', 'Device', 'Operating_System', 'General_Concept', 'General_Concept', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'General_Concept': ['[]'], 'Architecture': ['[]'], 'Device': ['[""RS-232 port"", ""IBM keyboard"", ""10 Mbit/s local network interface"", ""CGA graphics mode"", ""RAM"", ""ZXM-777"", ""TMPZ84C00-8 CPU""]']})"
"Like their predecessors , the appliances combined solid state and standard disk drives .",['disk drives'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
and gets resolved during TNFA simulation or determinization .,['determinization'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
A personal area network ( PAN ) is a computer network used for communication among computers and different information technological devices close to one person .,"['personal area network', 'computer network']","['General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[]']})"
"Linux , macOS and Windows are three operating systems that use supervisor/user mode .","['Linux', 'macOS', 'Windows', 'operating systems']","['Application', 'Application', 'Application', 'General_Concept']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
The GGI extensions featured higher-level API .,"['GGI', 'API']","['Language', 'General_Concept']","defaultdict(<class 'list'>, {'Language': ['[]'], 'General_Concept': ['[]']})"
Transflective LCDs combine the features of a backlit transmissive display and a reflective display .,['Transflective LCDs'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
current value of the instruction pointer .,['instruction pointer'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"BioBIKE was originally called "" BioLingua "" , and was developed by Jeff Shrager at , and JP Massar with funding from .","['BioBIKE', 'BioLingua']","['General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
--gc:none – No memory management strategy nor a garbage collector .,['garbage collector'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"The bus of the early single-board devices , such as the Z80 and 6502 , was universally a Von Neumann architecture .","['bus', 'Z80', '6502', 'Von Neumann architecture']","['General_Concept', 'General_Concept', 'General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[""Von Neumann architecture""]']})"
The Dombi t-norm is strict if and only if 0 p +∞ ( for p = 1 it is the Hamacher product ) .,['t-norm'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
The integer unit is responsible for executing integer instructions .,['integer unit'],['General_Concept'],"defaultdict(<class 'list'>, {'General_Concept': ['[]']})"
"DataOps applies to the entire data lifecycle from data preparation to reporting , and recognizes the interconnected nature of the data analytics team and information technology operations .","['DataOps', 'data analytics', 'information technology']","['General_Concept', 'General_Concept', 'General_Concept']","defaultdict(<class 'list'>, {'General_Concept': ['[""DataOps""]']})"
"Picochip was a venture-backed fabless semiconductor company based in Bath , England , founded in 2000 .","['Picochip', 'fabless semiconductor company']","['General_Concept', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'General_Concept': ['[]']})"
"These goals are realized by the implementation of data governance programs , or initiatives using change management techniques .","['data governance', 'change management']","['General_Concept', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'General_Concept': ['[]']})"
